location,scenario,future_period,gcm,temp_metric_name,temp_metric_value,historical_temp_metric_value,temp_deviation_from_historical,temp_rank,temp_class
Hobart,ssp370,2070,MPI-ESM1-2-HR,annual_mean_temperature,14.582,12.651,1.932,3,
Hobart,ssp370,2070,EC-Earth3,annual_mean_temperature,14.625,12.651,1.974,4,median
Hobart,ssp370,2070,CMCC-ESM2,annual_mean_temperature,14.713,12.651,2.062,5,
Hobart,ssp370,2070,CESM2,annual_mean_temperature,15.248,12.651,2.598,6,
Hobart,ssp370,2070,ACCESS-CM2,annual_mean_temperature,15.449,12.651,2.798,7,hottest
Longreach,ssp126,2030,MPI-ESM1-2-HR,annual_mean_temperature,24.176,23.617,0.56,1,coolest
Longreach,ssp126,2030,EC-Earth3,annual_mean_temperature,24.208,23.617,0.591,2,
Longreach,ssp126,2030,CMCC-ESM2,annual_mean_temperature,24.296,23.617,0.68,3,
Longreach,ssp126,2030,NorESM2-MM,annual_mean_temperature,24.324,23.617,0.707,4,median
Longreach,ssp126,2030,ACCESS-ESM1-5,annual_mean_temperature,24.495,23.617,0.878,5,
Longreach,ssp126,2030,ACCESS-CM2,annual_mean_temperature,24.707,23.617,1.09,6,
Longreach,ssp126,2030,CESM2,annual_mean_temperature,24.983,23.617,1.366,7,hottest
Longreach,ssp126,2050,MPI-ESM1-2-HR,annual_mean_temperature,24.308,23.617,0.691,1,coolest
Longreach,ssp126,2050,NorESM2-MM,annual_mean_temperature,24.608,23.617,0.992,2,
Longreach,ssp126,2050,EC-Earth3,annual_mean_temperature,24.638,23.617,1.021,3,
Longreach,ssp126,2050,ACCESS-ESM1-5,annual_mean_temperature,24.791,23.617,1.174,4,median
Longreach,ssp126,2050,CMCC-ESM2,annual_mean_temperature,24.86,23.617,1.243,5,
Longreach,ssp126,2050,ACCESS-CM2,annual_mean_temperature,25.245,23.617,1.629,6,
Longreach,ssp126,2050,CESM2,annual_mean_temperature,25.444,23.617,1.827,7,hottest
Longreach,ssp126,2070,MPI-ESM1-2-HR,annual_mean_temperature,24.505,23.617,0.888,1,coolest
Longreach,ssp126,2070,NorESM2-MM,annual_mean_temperature,24.689,23.617,1.072,2,
Longreach,ssp126,2070,EC-Earth3,annual_mean_temperature,24.754,23.617,1.137,3,
Longreach,ssp126,2070,ACCESS-ESM1-5,annual_mean_temperature,24.922,23.617,1.305,4,median
Longreach,ssp126,2070,CMCC-ESM2,annual_mean_temperature,25.214,23.617,1.597,5,
Longreach,ssp126,2070,ACCESS-CM2,annual_mean_temperature,25.585,23.617,1.968,6,
Longreach,ssp126,2070,CESM2,annual_mean_temperature,25.67,23.617,2.053,7,hottest
Longreach,ssp370,2030,MPI-ESM1-2-HR,annual_mean_temperature,24.095,23.617,0.478,1,coolest
Longreach,ssp370,2030,NorESM2-MM,annual_mean_temperature,24.32,23.617,0.703,2,
